,label,token_count,avg_word_length,upper_count,stop_count,num_count,hasNumber,punc_count,pos_tag,hasPhone,hasCurrency,sum_has_features,sum_count_features
0,ham,24,3.8333333333333335,0,4,0,0,9,0.8823529411764706,0,0,0,9
1,ham,8,3.0,0,0,0,0,6,1.2,0,0,0,6
2,spam,37,3.4594594594594597,4,5,3,1,6,1.2857142857142856,1,0,2,13
3,ham,13,3.0,2,2,0,0,6,0.909090909090909,0,0,0,8
4,ham,15,3.2666666666666666,1,5,0,0,2,1.0,0,0,0,3
5,spam,39,2.9743589743589745,1,13,1,1,8,1.2083333333333333,0,1,2,10
6,ham,18,3.4444444444444446,0,7,0,0,2,0.7500000000000001,0,0,0,2
7,ham,31,4.354838709677419,0,9,1,1,6,1.526315789473684,0,0,1,7
8,spam,32,4.125,2,6,2,1,6,1.4499999999999997,1,1,3,10
9,spam,31,4.064516129032258,3,9,2,1,2,1.2631578947368423,1,0,2,7
10,ham,28,3.1785714285714284,2,7,0,0,6,1.25,0,0,0,8
11,spam,31,3.5806451612903225,4,4,3,1,8,1.4666666666666668,0,0,1,15
12,spam,32,4.0625,8,7,2,1,8,1.4210526315789473,0,1,2,18
13,ham,41,3.902439024390244,2,19,0,0,4,1.0769230769230769,0,0,0,6
14,ham,10,2.8,8,0,0,0,2,1.5,0,0,0,10
15,spam,28,4.678571428571429,1,6,0,0,11,1.1111111111111112,0,0,1,12
16,ham,9,2.5555555555555554,0,2,0,0,6,1.0,0,0,0,6
17,ham,22,2.8636363636363638,0,6,1,1,5,1.0666666666666667,0,0,1,6
18,ham,14,3.142857142857143,0,4,0,0,1,0.7777777777777778,0,0,0,1
19,spam,28,4.714285714285714,3,3,2,1,8,1.352941176470588,0,0,1,13
20,ham,9,3.7777777777777777,0,4,0,0,1,0.8333333333333334,0,0,0,1
21,ham,13,2.8461538461538463,1,4,1,1,0,1.3,0,0,1,2
22,ham,13,3.230769230769231,0,2,0,0,6,0.5,0,0,0,6
23,ham,23,3.0,1,5,1,1,3,0.7222222222222223,0,0,1,5
24,ham,13,3.6153846153846154,1,5,0,0,2,1.2857142857142856,0,0,0,3
25,ham,35,3.342857142857143,3,7,0,0,7,1.0,0,0,0,10
26,ham,6,4.333333333333333,0,2,0,0,1,0.39999999999999997,0,0,0,1
27,ham,34,3.0294117647058822,0,11,0,0,6,1.1666666666666665,0,0,0,6
28,ham,22,2.772727272727273,2,6,0,0,7,1.0,0,0,0,9
29,ham,16,3.3125,1,3,0,0,4,1.333333333333333,0,0,0,5
30,ham,30,3.5,0,17,0,0,4,0.894736842105263,0,0,0,4
31,ham,48,3.0833333333333335,0,19,2,1,7,0.9310344827586207,0,0,1,9
32,ham,7,3.4285714285714284,1,3,0,0,1,0.9999999999999999,0,0,0,2
33,ham,18,3.7777777777777777,0,11,0,0,1,1.222222222222222,0,0,0,1
34,spam,30,4.333333333333333,4,13,0,0,2,1.238095238095238,0,1,1,6
35,ham,30,3.1666666666666665,0,13,0,0,6,1.263157894736842,0,0,0,6
36,ham,12,3.25,1,3,0,0,3,1.125,0,0,0,4
37,ham,8,2.625,2,3,0,0,0,1.0000000000000002,0,0,0,2
38,ham,6,4.0,1,0,0,0,6,1.75,0,0,0,7
39,ham,37,3.4054054054054053,1,16,0,0,7,1.2272727272727273,0,0,0,8
40,ham,20,3.3,1,6,0,0,3,1.142857142857143,0,0,0,4
41,ham,35,3.1142857142857143,5,10,0,0,15,0.75,0,0,0,20
42,spam,34,4.117647058823529,1,10,2,1,5,0.9565217391304349,1,0,2,8
43,ham,5,3.2,4,0,0,0,1,1.9999999999999998,0,0,0,5
44,ham,22,2.6363636363636362,2,3,0,0,10,0.7692307692307693,0,0,0,12
45,ham,7,4.285714285714286,0,0,0,0,4,1.3333333333333333,0,0,0,4
46,ham,10,3.8,0,2,0,0,2,0.875,0,0,0,2
47,ham,7,3.857142857142857,0,1,0,0,2,1.25,0,0,0,2
48,ham,16,3.375,1,4,0,0,2,0.6666666666666667,0,0,0,3
49,ham,37,3.2162162162162162,5,11,0,0,7,1.0370370370370368,0,0,0,12
50,ham,14,3.357142857142857,0,6,0,0,2,0.6666666666666667,0,0,0,2
51,ham,35,2.857142857142857,1,6,0,0,11,0.8823529411764706,0,0,0,12
52,ham,17,3.823529411764706,1,6,0,0,1,1.0,0,0,0,2
53,ham,69,3.4347826086956523,6,28,0,0,14,0.8400000000000001,0,0,0,20
54,spam,27,3.6666666666666665,3,3,0,0,5,1.7777777777777777,0,0,0,8
55,ham,20,3.15,1,5,0,0,6,1.4166666666666667,0,0,0,7
56,spam,37,3.6216216216216215,3,6,4,1,12,1.3888888888888886,1,0,2,19
57,ham,9,3.2222222222222223,1,1,0,0,3,1.0,0,0,0,4
58,ham,4,4.75,0,2,0,0,0,1.3333333333333333,0,0,0,0
59,ham,10,3.4,0,3,0,0,3,1.2,0,0,0,3
60,ham,29,2.9655172413793105,1,10,1,1,5,0.8888888888888892,0,1,2,7
61,ham,11,3.6363636363636362,0,1,0,0,2,1.1111111111111112,0,0,0,2
62,ham,6,3.3333333333333335,1,2,0,0,0,1.25,0,0,0,1
63,ham,14,3.2142857142857144,1,5,0,0,2,0.777777777777778,0,0,0,3
64,ham,26,3.3461538461538463,0,5,0,0,2,0.761904761904762,0,0,0,2
65,spam,31,4.032258064516129,1,11,1,1,3,1.1500000000000001,1,1,3,5
66,ham,28,3.642857142857143,0,9,0,0,8,0.9444444444444445,0,0,0,8
67,spam,34,4.0588235294117645,4,3,2,1,10,1.526315789473684,0,1,2,16
68,spam,20,3.3,0,6,0,0,5,1.2999999999999998,0,0,0,5
69,ham,9,3.0,1,3,0,0,1,1.2,0,0,0,2
70,ham,11,3.5454545454545454,0,1,0,0,9,1.1428571428571428,0,0,0,9
71,ham,6,4.166666666666667,0,3,0,0,1,1.25,0,0,0,1
72,ham,12,3.0,11,0,0,0,1,1.9090909090909092,0,0,0,12
